"","name","number_in_series","number_in_season","Title","original_air_date","viewers","Season","Ratings"
"68","ncisla",68,20,"""Patriot Acts""","April 10, 2012",12.86,3,7.8
"69","ncisla",69,21,"""Touch of Death""","May 1, 2012",15.21,3,7.9
"70","ncisla",70,22,"""Neighborhood Watch""","May 8, 2012",14.56,3,8.4
"71","ncisla",71,23,"""Sans Voir (Part I)""","May 15, 2012",15.19,3,7.9
"72","ncisla",72,24,"""Sans Voir (Part II)""","May 15, 2012",15.19,3,8.1
"73","ncisla",73,1,"""Endgame""","September 25, 2012",16.74,4,7.9
"74","ncisla",74,2,"""Recruit""","October 2, 2012",14.91,4,7.6
"75","ncisla",75,3,"""The Fifth Man""","October 9, 2012",15.18,4,7.8
"76","ncisla",76,4,"""Dead Body Politic""","October 23, 2012",16.53,4,7.4
"77","ncisla",77,5,"""Out of the Past""","October 30, 2012",16.28,4,7.8
"78","ncisla",78,6,"""Rude Awakenings""","November 13, 2012",15.77,4,7.8
"79","ncisla",79,7,"""Skin Deep""","November 20, 2012",15.13,4,7.6
"80","ncisla",80,8,"""Collateral""","November 27, 2012",14.49,4,7.7
"81","ncisla",81,9,"""The Gold Standard""","December 11, 2012",15.12,4,7.5
"82","ncisla",82,10,"""Free Ride""","December 18, 2012",15.48,4,8
"83","ncisla",83,11,"""Drive""","January 8, 2013",17.9,4,7.7
"84","ncisla",84,12,"""Paper Soldiers""","January 15, 2013",17.63,4,7.6
"85","ncisla",85,13,"""The Chosen One""","January 29, 2013",17.3,4,7.7
"86","ncisla",86,14,"""Kill House""","February 5, 2013",16.67,4,7.9
"87","ncisla",87,15,"""History""","February 19, 2013",16.27,4,7.4
"88","ncisla",88,16,"""Lokhay""","February 26, 2013",17.02,4,7.5
"89","ncisla",89,17,"""Wanted""","March 5, 2013",16.24,4,7.9
"90","ncisla",90,18,"""Red""","March 19, 2013",16.84,4,7.3
"91","ncisla",91,19,"""Red-2""","March 26, 2013",14.53,4,7.1
"92","ncisla",92,20,"""Purity""","April 9, 2013",14.1,4,7.5
"93","ncisla",93,21,"""Resurrection""","April 23, 2013",14.22,4,7.6
"94","ncisla",94,22,"""Raven & The Swans""","April 30, 2013",13.07,4,7.7
"95","ncisla",95,23,"""Parley""","May 7, 2013",13.18,4,7.8
"96","ncisla",96,24,"""Descent""","May 14, 2013",13.52,4,8.1
"97","ncisla",97,1,"""Ascension""","September 24, 2013",16.35,5,8.1
"98","ncisla",98,2,"""Impact""","October 1, 2013",15.09,5,8
"99","ncisla",99,3,"""Omni""","October 8, 2013",14.84,5,7.8
"100","ncisla",100,4,"""Reznikov, N.""","October 15, 2013",14.65,5,7.9
"101","ncisla",101,5,"""Unwritten Rule""","October 22, 2013",14.92,5,7.8
"102","ncisla",102,6,"""Big Brother""","October 29, 2013",14.95,5,7.7
"103","ncisla",103,7,"""The Livelong Day""","November 5, 2013",14.76,5,7.6
"104","ncisla",104,8,"""Fallout""","November 12, 2013",14.88,5,7.6
"105","ncisla",105,9,"""Recovery""","November 19, 2013",14.99,5,7.8
"106","ncisla",106,10,"""The Frozen Lake""","November 26, 2013",12.32,5,7.9
"107","ncisla",107,11,"""Iron Curtain Rising""","December 10, 2013",15.24,5,7.6
"108","ncisla",108,12,"""Merry Evasion""","December 17, 2013",15.58,5,8
"109","ncisla",109,13,"""Allegiance""","January 14, 2014",15.87,5,8.2
"110","ncisla",110,14,"""War Cries""","February 4, 2014",16.34,5,7.7
"111","ncisla",111,15,"""Tuhon""","February 25, 2014",13.15,5,7.9
"112","ncisla",112,16,"""Fish Out of Water""","March 4, 2014",14.37,5,7.8
"113","ncisla",113,17,"""Between the Lines""","March 18, 2014",14.21,5,7.7
"114","ncisla",114,18,"""Zero Days""","March 25, 2014",15.54,5,7.7
"115","ncisla",115,19,"""Spoils of War""","April 1, 2014",15.31,5,8.1
"116","ncisla",116,20,"""Windfall""","April 8, 2014",14.56,5,7.7
"117","ncisla",117,21,"""Three Hearts""","April 15, 2014",14.69,5,7.7
"118","ncisla",118,22,"""One More Chance""","April 29, 2014",14.83,5,7.7
"119","ncisla",119,23,"""Exposure""","May 6, 2014",14.11,5,7.4
"120","ncisla",120,24,"""Deep Trouble""","May 13, 2014",14.85,5,8.1
